kappa,slippage_mean_bps,slippage_std_bps
0.0,14.764103575923789,36.43620855295054
0.05,15.20759348743868,34.362505418869056
0.35384615384615387,19.340748297874633,9.530270988882728
0.6576923076923078,19.908592060369003,2.2530562927375524
0.9615384615384617,20.209176480950067,0.7133280006852306
1.2653846153846156,20.2718176438843,0.4984676692220383
1.5692307692307694,20.283710916824262,0.4046295103246662
1.8730769230769233,20.283710916824262,0.4046295103246662
2.176923076923077,20.289633591587062,0.3684283314106704
2.480769230769231,20.289633591587062,0.3684283314106704
2.7846153846153845,20.289633591587062,0.3684283314106704
3.0884615384615386,20.295332434021375,0.36180936944652536
3.3923076923076927,20.295332434021375,0.36180936944652536
3.6961538461538463,20.290449438917875,0.3540346777065986
4.0,20.290449438917875,0.3540346777065986
